line,x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
413,-2.028,0.65,-1.657,291.555,60.549,-151.341
414,-1.826,1.204,-1.652,275.396,34.573,-127.896
415,-1.593,1.732,-1.579,241.402,18.567,-98.323
416,-1.484,2.048,-1.449,187.134,8.232,-77.226
417,-1.554,2.114,-1.249,134.055,-5.945,-68.659
418,-1.734,2.066,-1.057,94.39,-26.341,-60.03
419,-1.886,2.058,-0.846,66.22,-43.841,-41.982
420,-2.001,2.067,-0.624,44.634,-55.396,-17.134
421,-2.145,2.072,-0.433,30.915,-64.451,13.018
422,-2.251,2.048,-0.225,20.396,-75.427,45.61
423,-2.201,1.962,-0.051,14.665,-91.098,78.659
424,-2.121,1.883,-0.003,12.652,-106.799,110.671
425,-2.062,1.833,-0.071,8.14,-117.957,137.744
426,-1.975,1.725,-0.138,2.043,-129.512,159.177
427,-1.805,1.6,-0.162,-2.134,-138.262,179.878
428,-1.645,1.471,-0.193,-9.177,-143.293,197.591
429,-1.518,1.31,-0.254,-19.268,-144.634,209.573
430,-1.375,1.155,-0.314,-30.305,-148.14,216.921
431,-1.119,0.966,-0.325,-40,-154.085,222.774
432,-0.911,0.842,-0.339,-42.988,-162.774,231.037
433,-0.785,0.736,-0.348,-49.878,-166.159,234.604
434,-0.611,0.577,-0.377,-59.39,-171.402,228.933
435,-0.346,0.418,-0.38,-61.799,-176.677,218.018
436,-0.033,0.309,-0.358,-58.78,-173.354,204.238
437,0.245,0.197,-0.332,-55.701,-159.787,183.811
438,0.482,0.099,-0.29,-50.671,-137.378,157.652
439,0.713,0.004,-0.228,-46.098,-111.28,127.591
440,0.94,-0.129,-0.145,-45.762,-87.805,96.494
441,0.972,-0.291,-0.053,-41.494,-74.299,64.817
442,0.739,-0.388,-0.027,-35.488,-68.72,31.555
443,0.543,-0.449,-0.035,-36.037,-67.835,-6.189
444,0.501,-0.556,-0.034,-37.195,-78.567,-50.091
445,0.474,-0.654,-0.017,-33.14,-90.366,-91.006
446,0.399,-0.7,0.029,-27.896,-89.665,-124.787
447,0.308,-0.745,0.067,-24.421,-79.909,-155.701
